imagem_origem,linha,nome,frequencia,dano,status,status_participacao
img1.jpeg,1,Cley,21/21,6672556344,nome_corrigido,completo
img1.jpeg,2,Hela,21/21,6560763608,nome_corrigido,completo
img1.jpeg,3,Krelian,21/21,6500705755,,completo
img1.jpeg,4,MJ馬McQueen,21/21,6266533900,nome_corrigido,completo
img1.jpeg,5,Gashak,21/21,6221687389,nome_corrigido,completo
img1.jpeg,6,Dennis,21/21,6210757287,,completo
img1.jpeg,7,Wagnero,21/21,6130021436,nome_corrigido,completo
img2.jpeg,1,Leon,21/21,6024293499,,completo
img2.jpeg,2,ヴァルディネイ,21/21,5819413748,nome_corrigido,completo
img2.jpeg,3,Lux,21/21,5760118699,nome_corrigido,completo
img2.jpeg,4,Ger,21/21,5319892179,nome_corrigido,completo
img2.jpeg,5,Kanao,21/21,5146046379,linha_corrigida,completo
img2.jpeg,6,Sr_Mendes,18/21,5011237651,linha_corrigida,participou_bem
img2.jpeg,7,SkyLord,18/21,4910370115,linha_corrigida,participou_bem
img3.jpeg,1,Snowers,21/21,4889796640,nome_corrigido,completo
img3.jpeg,2,Aurora,21/21,4847313837,nome_corrigido,completo
img3.jpeg,3,SirAudino,18/21,4481527119,nome_corrigido,participou_bem
img3.jpeg,4,Cosmos,18/21,3884410556,,participou_bem
img3.jpeg,5,カミナリ,21/21,3638488806,nome_corrigido,completo
img3.jpeg,6,math,17/21,3014568096,,participou_bem
img3.jpeg,7,Ramigam,15/21,3011900204,nome_corrigido,participou_bem
img4.jpeg,1,tang,15/21,3001959558,nome_corrigido,participou_bem
img4.jpeg,2,Ino,15/21,2900842360,nome_corrigido,participou_bem
img4.jpeg,3,Capibara,12/21,2729099610,nome_corrigido,baixa_participacao
img4.jpeg,4,Carlinhozz,14/21,2423828941,,baixa_participacao
img4.jpeg,5,CAPETTINI,12/21,2181520708,nome_corrigido,baixa_participacao
img4.jpeg,6,kia,12/21,1173273577,nome_corrigido,baixa_participacao
img4.jpeg,7,utiago,6/21,961996810,nome_corrigido,quase_ausente
img5.jpeg,1,PeSH,12/21,919946595,linha_corrigida,baixa_participacao
img5.jpeg,2,Drymus,3/21,530981851,linha_corrigida,quase_ausente
