imagem_origem,linha,nome,frequencia,dano,status,status_participacao
img1.jpeg,2,Hela,21/21,7082546317,nome_corrigido,completo
img1.jpeg,3,Cley,21/21,7038686958,,completo
img1.jpeg,4,MJ馬McQueen,21/21,6766671798,nome_corrigido,completo
img1.jpeg,5,Dennis,21/21,6718058298,nome_corrigido,completo
img1.jpeg,6,Gashak,21/21,6511822285,nome_corrigido,completo
img1.jpeg,7,Wagnero,21/21,6488464156,nome_corrigido,completo
img2.jpeg,1,Leon,21/21,5964316419,,completo
img2.jpeg,3,Krelian,18/21,5757579272,nome_corrigido,participou_bem
img2.jpeg,5,Ger,21/21,5214489428,nome_corrigido,completo
img2.jpeg,6,Aurora,21/21,5190475037,linha_corrigida,completo
img2.jpeg,7,Snowers,18/21,4545986172,linha_corrigida,participou_bem
img3.jpeg,1,Capibara,17/21,4452606599,nome_corrigido,participou_bem
img3.jpeg,2,ヴァルディネイ,15/21,4445028717,nome_corrigido,participou_bem
img3.jpeg,3,SirAudino,18/21,4402467102,nome_corrigido,participou_bem
img3.jpeg,4,Sr_Mendes,15/21,4317518896,linha_corrigida,participou_bem
img3.jpeg,5,CAPETTINI,20/21,3989653495,nome_corrigido,participou_bem
img3.jpeg,6,カミナリ,21/21,3967251732,nome_corrigido,completo
img3.jpeg,7,math,20/21,3881013629,,participou_bem
img4.jpeg,2,Ramigam,14/21,3072219688,nome_corrigido,baixa_participacao
img4.jpeg,3,Cosmos,12/21,2508644217,,baixa_participacao
img4.jpeg,4,kia,21/21,2325539502,nome_corrigido,completo
img4.jpeg,5,Ino,9/21,1632955893,nome_corrigido,baixa_participacao
img4.jpeg,6,Carlinhozz,3/21,550613461,nome_corrigido,quase_ausente
img4.jpeg,7,utiago,3/21,534411992,nome_corrigido,quase_ausente
,,LuxKanao,0/21,0,ausente,ausente
,,PeSH,0/21,0,ausente,ausente
,,tangHaru_Urara,0/21,0,ausente,ausente
